rooms,area,floor,repaired,terrace,region,district,house_name,builder_name,builder_phone,building_starts,building_ends,installment_pay_month,prepayment_percent,finished_flat,price_per_area,total_price,flat_plan_image_url
1,50.7,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,18,30,No,12500000,633750000,"https://service.app.uysot.uz/files/com-12/image/230919-154734-a90c6636-85d0-4470.jpg, https://service.app.uysot.uz/files/com-12/image/230919-143900-f2b475fe-9412-4404.jpg, , "
1,68.0,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,10,30,No,3500000,238000000,not available
1,68.1,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,12,30,No,27335625,1861556062,not available
1,76.0,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,10,30,No,3500000,266000000,not available
1,85.17,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,12,30,No,27335625,2328175181,not available
1,109.3,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,24,30,No,14000000,1530200000,"https://service.app.uysot.uz/files/com-12/image/231004-110437-caa0de49-31af-4797.jpg, https://service.app.uysot.uz/files/com-12/image/231004-110440-64e57f8c-5c6a-4562.jpg, , "
1,125.5,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,24,30,No,14000000,1757000000,"https://service.app.uysot.uz/files/com-12/image/231004-110509-076d82d7-ef84-45c8.jpg, https://service.app.uysot.uz/files/com-12/image/231004-110513-bc0264e1-d367-4c41.jpg, , "
1,153.7,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,2151800000,"https://service.app.uysot.uz/files/com-12/image/230616-150327-c1113054-8ffa-4bc5.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150330-1eba0b5a-9586-4eb6.jpg, , "
1,162.7,2,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,24,30,No,14000000,2277800000,"https://service.app.uysot.uz/files/com-12/image/231004-110547-848b5f2a-d127-43f6.jpg, https://service.app.uysot.uz/files/com-12/image/231004-110545-ae2dcc84-4305-4723.jpg, , "
1,164.7,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,1976400000,"https://service.app.uysot.uz/files/com-12/image/230616-150211-08177d1d-d714-4014.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150214-1b3c8b70-cfc1-4d98.jpg, , "
1,168.6,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,2023200000,"https://service.app.uysot.uz/files/com-12/image/230616-150235-04a12f71-b77b-4379.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150158-78119161-6316-4185.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150233-2bbf2e4d-5481-4f4a.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150202-a936f583-af34-46f4.jpg"
1,175.2,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,2102400000,"https://service.app.uysot.uz/files/com-12/image/230616-150245-529ca4d1-dcc9-4838.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150241-ef252bf7-c981-4e41.jpg, , "
1,188.79,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,10,30,No,3500000,660765000,not available
1,189.6,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,24,30,No,14000000,2654400000,"https://service.app.uysot.uz/files/com-12/image/231004-110423-882e36c1-cd99-45b8.jpg, https://service.app.uysot.uz/files/com-12/image/231004-110427-bd697910-6614-49b6.jpg, , "
1,190.6,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,2668400000,"https://service.app.uysot.uz/files/com-12/image/230616-150311-8a3e09ce-7dd9-4ca6.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150308-70b19215-3185-4e70.jpg, , "
